course,institution,url,admission req,language req,deadline
Master of Arts in Human Rights,FAU Erlangen-Nürnberg • Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4588/,"
",,"
"
Sustainable Management – Water and Energy,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5229/,"






","

","
"
Smart City Solutions,Hochschule für Technik Stuttgart - University of Applied Sciences • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7229/,"





","



",
American Studies (MA),University of Tübingen • Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5332/,"
","
","


"
Master of Science in Embedded Systems Engineering,University of Freiburg • Freiburg im Breisgau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4360/,"


","
",
Political Science – Master of Science,University of Cologne • Köln,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5450/,"

","
",
International Project Management,Hochschule für Technik Stuttgart - University of Applied Sciences • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9597/,"






","



","


"
Neurobiology (MSc),University of Tübingen • Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4815/,,,
Transformation Management for Sustainable Agri-Food Systems (Transformation),University of Hohenheim • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3787/,"


","
",
Master of Science in Biology,Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5298/,"

","
",
Neurosciences,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4060/,"

","
",
International Management,Dresden University of Technology • Zittau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8917/,,,"

"
"Developmental, Neural, and Behavioural Biology (MSc)",University of Göttingen • Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4070/,,"







",
Mathematics in Business and Economics,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8914/,,,"
"
Iranian Studies: Iran in Antiquity and Late Antiquity,Freie Universität Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9065/,"

",,
Biblical Studies,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8286/,,,"
"
Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Physics,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3842/,,,"
"
MSc Global Change Geography – The Physical Geography of Human-Environment Systems,Humboldt-Universität zu Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4714/,"

","


",
"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/,,"









","

"
Transportation Economics,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7637/,"

",,
Biomedical Sciences (MSc),Hochschule Bonn-Rhein-Sieg • Rheinbach,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3778/,"


","

","
"
Public and International Economics,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8915/,"
",,
Battery Systems Engineering (BSE),RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9599/,,"



","

"
Environmental Sciences,University of Freiburg • Freiburg im Breisgau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4337/,,"
",
Master of Science in Global Logistics and Supply Chain Management,Kühne Logistics University • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4246/,"




","
","


"
Medical Informatics (MSc),University of Tübingen • Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6104/,,,"
"
Drug Regulatory Affairs,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10337/,"
",,
Sociology and Social Research – Master of Science,University of Cologne • Köln,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5451/,"
",,
Electrical Engineering,University of Stuttgart • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6926/,"
","
","
"
Integrative Technologies & Architectural Design Research (ITECH),University of Stuttgart • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4440/,"


","
",
Crop Protection (MSc),University of Göttingen • Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4149/,"
","
",
MSc Nanotechnology,FAU Erlangen-Nürnberg • Erlangen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8298/,"




","


","
"
Joint Master's in Global Technology and Innovation Management & Entrepreneurship (G-TIME),Hamburg University of Technology • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5317/,,,
Electrical Power Engineering – Major of Electrical Engineering and Information Technology,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3699/,"



","

",
Master of Science in Economics,Humboldt-Universität zu Berlin • Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6323/,"




","

","
"
Marketing (MSc),Hochschule Bonn-Rhein-Sieg • Sankt Augustin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4732/,"
",,"
"
Biology in Society,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7765/,,,
Applied Data Science and Analytics (MSc),SRH University • Heidelberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4886/,,"
",
Economics,University of Bonn • Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4034/,,"

",
MSc Geomatics for Environmental Monitoring,University of Stuttgart • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10349/,,"
",
Organic and Molecular Electronics (OME),Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4388/,,,
International Management (CEMS MIM) – Master of Science,University of Cologne • Köln,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4182/,"
",,
MSc Autonomy Technologies,FAU Erlangen-Nürnberg • Erlangen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/,"
","

",
"Master of European and International Law (MEIL, LLM)",Universität Hamburg • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4578/,,,
Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg • Erlangen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/,"







","


","
"
Food Science and Technology,University of Hohenheim • Stuttgart,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4456/,"

","

",
Supply Chain Management (MSc),SRH University • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7146/,,"
","
"
Master of Science (MSc) in International Business Studies (MIBS),FAU Erlangen-Nürnberg • Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4166/,"



","

",
Marine Ecosystem and Fisheries Sciences,Universität Hamburg • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9054/,"



","







",
Master of Public Administration in European Studies (MPA-ES),RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5624/,"
","



","

"
